gene_id,ig_2d,gene_symbol
ENSG00000197061,0.9999999999804696,H4C3
ENSG00000124575,0.8631593830976015,H1-3
ENSG00000145632,0.8281349202294515,PLK2
ENSG00000211898,0.8198807405559412,IGHD
ENSG00000188157,0.7045346440333615,AGRN
ENSG00000104728,0.6896219595405708,ARHGEF10
ENSG00000211721,0.6836822160767876,TRBV6-5
ENSG00000100376,0.674283676474884,FAM118A
ENSG00000257411,0.6568742104289547,gene:ENSG00000257411
ENSG00000211638,0.6469889842816474,IGLV8-61
ENSG00000163751,0.5987391954799232,CPA3
ENSG00000280320,0.5633788198781755,gene:ENSG00000280320
ENSG00000211799,0.5609621843554885,TRAV19
ENSG00000274997,0.5546631482951011,H2AC12
ENSG00000243264,0.5449685593413713,IGKV2D-29
ENSG00000204936,0.5219565912388221,CD177
ENSG00000256660,0.5090377337466129,CLEC12B
ENSG00000111335,0.4993782081771362,OAS2
ENSG00000211942,0.4975537235169677,IGHV3-13
ENSG00000279753,0.4967608715450438,gene:ENSG00000279753
ENSG00000107317,0.4741761013860384,PTGDS
ENSG00000279117,0.4736059040026307,gene:ENSG00000279117
ENSG00000211804,0.4310457954068303,TRDV1
ENSG00000277224,0.4194184416443969,H2BC7
ENSG00000169429,0.4066639810329034,CXCL8
ENSG00000106714,0.4004807962777596,CNTNAP3
ENSG00000170298,0.3908550664213454,LGALS9B
ENSG00000137267,0.3883604416668572,TUBB2A
ENSG00000211937,0.3804119085054042,IGHV2-5
ENSG00000258677,0.3791382556301593,gene:ENSG00000258677
ENSG00000172232,0.3770541212100127,AZU1
ENSG00000163993,0.3687734369900255,S100P
ENSG00000229314,0.3654990440632052,ORM1
ENSG00000279225,0.3607240550355123,gene:ENSG00000279225
ENSG00000153234,0.358228448519729,NR4A2
ENSG00000241351,0.3555699749660817,IGKV3-11
ENSG00000288634,0.3529851788783641,gene:ENSG00000288634
ENSG00000283149,0.3527545783153151,gene:ENSG00000283149
ENSG00000179639,0.3354800349278776,FCER1A
ENSG00000211653,0.3338838308265389,IGLV1-40
ENSG00000126709,0.3323180175368388,IFI6
ENSG00000211677,0.3321038384092329,IGLC2
ENSG00000211951,0.3310972270489816,IGHV2-26
ENSG00000272573,0.3298239370629289,MUSTN1
ENSG00000181625,0.3253939083958098,SLX1B
ENSG00000269711,0.3238893236435675,gene:ENSG00000269711
ENSG00000157601,0.3165885705188989,MX1
ENSG00000132530,0.3136802473670396,XAF1
ENSG00000135114,0.3122901460170409,OASL
ENSG00000279296,0.3104163897697005,PRAL
ENSG00000179044,0.3101848120525454,EXOC3L1
