gene_id,ig_score
ENSG00000229637,0.027600955
ENSG00000284631,0.024676993
ENSG00000259303,0.020664085
ENSG00000161849,0.01890139
ENSG00000179546,0.018048856
ENSG00000166840,0.017305383
ENSG00000186340,0.017245721
ENSG00000214026,0.01721476
ENSG00000074416,0.01704068
ENSG00000094661,0.016669499
ENSG00000169429,0.016061151
ENSG00000166363,0.015656283
ENSG00000101680,0.015548015
ENSG00000283496,0.015435671
ENSG00000094963,0.015000835
ENSG00000002746,0.014839913
ENSG00000164107,0.014839913
ENSG00000174442,0.0144669395
ENSG00000162365,0.0141814025
ENSG00000113100,0.014092833
ENSG00000189171,0.013896933
ENSG00000121207,0.013844581
ENSG00000211967,0.01372724
ENSG00000277150,0.013678806
ENSG00000167264,0.013516875
ENSG00000113739,0.013506333
ENSG00000147649,0.013362097
ENSG00000146453,0.013241338
ENSG00000182256,0.013103308
ENSG00000183054,0.012985842
ENSG00000176988,0.012815478
ENSG00000196620,0.012567794
ENSG00000242498,0.012559568
ENSG00000244122,0.012182314
ENSG00000160813,0.011792533
ENSG00000161798,0.011743371
ENSG00000137090,0.011605133
ENSG00000165175,0.011562242
ENSG00000160213,0.011526064
ENSG00000242114,0.011501555
ENSG00000197548,0.011379205
ENSG00000005421,0.011330201
ENSG00000185220,0.0113082705
ENSG00000183778,0.011203492
ENSG00000280416,0.011200603
ENSG00000175619,0.011196932
ENSG00000107159,0.011108075
ENSG00000244731,0.010902623
ENSG00000102055,0.010885883
ENSG00000100625,0.0107702855
ENSG00000124215,0.010543528
ENSG00000072110,0.010513296
ENSG00000100170,0.010497791
ENSG00000154646,0.010442835
ENSG00000286022,0.010440231
ENSG00000141338,0.010438463
ENSG00000101670,0.010378737
ENSG00000178531,0.0103742555
ENSG00000179344,0.010367297
ENSG00000154553,0.010348571
ENSG00000183454,0.010317272
ENSG00000111199,0.010306923
ENSG00000165219,0.010303591
ENSG00000250506,0.010279004
ENSG00000106006,0.010278738
ENSG00000081803,0.010264924
ENSG00000125753,0.010264339
ENSG00000183067,0.010244931
ENSG00000133256,0.010234742
ENSG00000114248,0.01018996
ENSG00000170577,0.010128973
ENSG00000099968,0.010050756
ENSG00000125734,0.010036987
ENSG00000186812,0.010024234
ENSG00000124253,0.009969304
ENSG00000112658,0.009952779
ENSG00000093134,0.009948927
ENSG00000078061,0.009872438
ENSG00000108590,0.009825334
ENSG00000196961,0.009801133
ENSG00000185101,0.009795332
ENSG00000143878,0.009774127
ENSG00000175040,0.0096898945
ENSG00000058085,0.00967221
ENSG00000115657,0.009667035
ENSG00000280277,0.009656903
ENSG00000086205,0.009649758
ENSG00000165609,0.009646108
ENSG00000174136,0.009617827
ENSG00000163535,0.009576695
ENSG00000204520,0.009570757
ENSG00000148339,0.009484676
ENSG00000186470,0.009471437
ENSG00000115841,0.009389881
ENSG00000125863,0.009379705
ENSG00000213714,0.009358525
ENSG00000172150,0.009348775
ENSG00000222011,0.009336537
ENSG00000105447,0.009291929
ENSG00000137726,0.009271843
